               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.054885,            0.028227,             0.04488,             0.44623,              0.4375,             0.38762,             0.25671,            0.016575,            0.011026,            0.021805,            0.070667,           0.0032593,           0.0032593
                   1,            0.038133,            0.020464,            0.041149,             0.32637,              0.5875,             0.50691,             0.31292,            0.011591,           0.0061522,            0.019775,            0.040232,           0.0061575,           0.0061575
                   2,             0.03409,            0.015378,            0.036545,             0.28377,              0.9375,             0.40686,              0.2894,             0.01687,           0.0047218,            0.017014,           0.0093564,           0.0086157,           0.0086157
                   3,            0.029134,            0.013764,            0.032093,             0.41833,              0.9375,             0.58766,             0.35008,            0.011086,           0.0044987,             0.01223,             0.00802,             0.00802,             0.00802
                   4,            0.027051,            0.013239,            0.028873,               0.501,              0.8375,             0.59948,              0.3982,           0.0085634,           0.0033008,            0.012642,             0.00802,             0.00802,             0.00802
                   5,            0.023336,            0.012557,            0.026218,              0.4913,              0.9125,             0.58454,              0.3929,             0.01262,           0.0029889,            0.010315,             0.00736,             0.00736,             0.00736
                   6,            0.023468,            0.011356,            0.024746,             0.47404,              0.9125,              0.6889,             0.49508,            0.011687,           0.0025797,           0.0090942,              0.0067,              0.0067,              0.0067
                   7,            0.021433,            0.010885,            0.019656,             0.50405,             0.93615,             0.67554,             0.55897,           0.0055343,           0.0027752,           0.0088272,             0.00604,             0.00604,             0.00604
                   8,            0.020486,            0.010798,            0.018424,             0.49313,               0.875,             0.74621,             0.53413,           0.0071566,           0.0027381,           0.0077591,             0.00538,             0.00538,             0.00538
                   9,            0.018134,            0.010467,            0.014867,             0.77922,             0.78217,             0.83476,             0.68027,           0.0060611,           0.0024771,           0.0068321,             0.00472,             0.00472,             0.00472
                  10,            0.016683,            0.010057,            0.015039,             0.86845,             0.84722,             0.87722,             0.63845,           0.0056575,           0.0027494,           0.0066833,             0.00406,             0.00406,             0.00406
                  11,            0.016547,            0.010249,            0.014031,              0.8095,             0.83484,             0.87938,             0.65226,           0.0063421,           0.0027657,           0.0068855,              0.0034,              0.0034,              0.0034
                  12,            0.014586,             0.01003,            0.013338,             0.94044,               0.875,             0.88205,             0.73878,           0.0045919,           0.0022678,           0.0061722,             0.00274,             0.00274,             0.00274
                  13,            0.014685,            0.009485,            0.014976,             0.90128,               0.875,             0.87891,             0.76245,           0.0042471,           0.0023613,           0.0051079,             0.00208,             0.00208,             0.00208
                  14,            0.012309,           0.0096447,            0.012532,             0.94164,               0.875,              0.8834,             0.77958,            0.004101,           0.0026169,           0.0049782,             0.00142,             0.00142,             0.00142
